,0,1,2,3,4
species,Escherichia_coli,Freesia_sneak_virus,Japanese_eel_endothelial_cells_infecting_virus,Rabbit_vesivirus,Adeno_associated_virus_5
abundance,20.08052,9.82903,6.11678,6.05613,5.89742
